TECHNOLOGIES 	  c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	 f_perc	 fmax_perc	 c_p	 tau	 gwp_constr 
 UNITS	[MCHCapitalf/kW]	 [MCHCapitalf/kW]	 [y]	 [kW or kWh]	 [kW or kWh]	 [kW or kWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [kgCO2-eq./kW or kWh] 
PV	9836249.748389	116990.439485	25.000000	0.250000	8704.645795	100000000.000000	0.000000	0.000000	1.000000	1.000000	0.048263	18118110.897158	
WIND_HAWT	0.000000	0.000000	30.000000	2000.000000	0.000000	0.000000	0.000000	0.000000	1.000000	1.000000	0.041639	0.000000	
WIND_VAWT	0.000000	0.000000	20.000000	10.000000	0.000000	0.000000	0.000000	0.000000	1.000000	1.000000	0.058246	0.000000	
DHN_ADVCOGEN_GAS	0.000000	0.000000	25.000000	1000.000000	0.000000	31971.300000	0.000000	0.000000	1.000000	0.900000	0.048263	0.000000	
DHN_ADVCOGEN_H2	0.000000	0.000000	25.000000	1000.000000	0.000000	31971.300000	0.000000	0.000000	1.000000	0.900000	0.048263	0.000000	
DHN_HP_ELEC_A2W	0.000000	0.000000	20.000000	200.000000	0.000000	10000000.000000	0.000000	0.000000	1.000000	1.000000	0.058246	0.000000	
DHN_HP_ELEC_G2W	7351852.732962	18379.631832	20.000000	200.000000	9189.815916	10000000.000000	0.000000	0.000000	1.000000	1.000000	0.058246	1606287.923993	
DHN_THHP_GAS_ED_A2W	0.000000	0.000000	20.000000	50.000000	0.000000	10000000.000000	0.000000	0.000000	1.000000	1.000000	0.058246	0.000000	
DHN_THHP_GAS_ED_G2W	0.000000	0.000000	20.000000	50.000000	0.000000	10000000.000000	0.000000	0.000000	1.000000	1.000000	0.058246	0.000000	
DHN_THHP_ABS_A2W	0.000000	0.000000	20.000000	80.000000	0.000000	10000000.000000	0.000000	0.000000	1.000000	1.000000	0.058246	0.000000	
