source,target,realValue,layerID,layerColor,layerUnit
Exterior Heat,HPs,5661.36,Exterior Heat,#8FBC8F,TWh
NG,HPs,11364.88,NG,#FFD700,TWh
Electricity,Elec,2852.19,Electricity,#00BFFF,TWh
Solar,Elec,2852.19,Solar,#FFFF00,TWh
Solar,Heat,576.40,Solar,#FFFF00,TWh
Elec,Export,2852.19,Electricity,#00BFFF,TWh
Elec,Elec demand,2650.00,Electricity,#00BFFF,TWh
Elec,HPs,202.19,Electricity,#00BFFF,TWh
HPs,Heat,17228.43,Heat LT,#FA8072,TWh
Heat,Dec. Sto,1048.17,Heat LT,#FA8072,TWh
Dec. Sto,Heat LT Dec,1024.48,Heat LT,#FA8072,TWh
Dec. Sto,Losses,23.69,Heat,#708090,TWh
Heat,Heat LT Dec,16756.66,Heat,#FA8072,TWh
