Time	TS_DHN_DAILY	TS_DHN_SEASONAL	TS_DEC	TS_DHN_DAILY_in	TS_DHN_DAILY_out	TS_DHN_SEASONAL_in	TS_DHN_SEASONAL_out	TS_DEC_in	TS_DEC_out	
 1	0.000000	0.000000	30.497590	0.000000	0.000000	0.000000	0.000000	-7.527737	3.677675	
 2	0.000000	0.000000	34.123369	0.000000	0.000000	0.000000	0.000000	-3.877078	0.000000	
 3	0.000000	0.000000	37.726651	0.000000	0.000000	0.000000	0.000000	-3.884458	0.000000	
 4	0.000000	0.000000	41.298121	0.000000	0.000000	0.000000	0.000000	-7.543875	3.661537	
 5	0.000000	0.000000	44.818582	0.000000	0.000000	0.000000	0.000000	-7.533084	3.672327	
 6	0.000000	0.000000	43.343231	0.000000	0.000000	0.000000	0.000000	0.000000	1.106046	
 7	0.000000	0.000000	42.568001	0.000000	0.000000	0.000000	0.000000	0.000000	0.418081	
 8	0.000000	0.000000	42.246667	0.000000	0.000000	0.000000	0.000000	-0.029426	0.000000	
 9	0.000000	0.000000	42.200782	0.000000	0.000000	0.000000	0.000000	-0.302227	0.000000	
 10	0.000000	0.000000	42.409209	0.000000	0.000000	0.000000	0.000000	-5.880786	5.324625	
 11	0.000000	0.000000	42.810092	0.000000	0.000000	0.000000	0.000000	-5.977873	5.227538	
 12	0.000000	0.000000	43.375046	0.000000	0.000000	0.000000	0.000000	-6.061561	5.143851	
 13	0.000000	0.000000	44.064569	0.000000	0.000000	0.000000	0.000000	-6.126172	5.079239	
 14	0.000000	0.000000	44.821647	0.000000	0.000000	0.000000	0.000000	-6.162791	5.042621	
 15	0.000000	0.000000	44.821647	0.000000	0.000000	0.000000	0.000000	-0.369330	0.000000	
 16	0.000000	0.000000	44.821647	0.000000	0.000000	0.000000	0.000000	-0.369330	0.000000	
 17	0.000000	0.000000	44.821647	0.000000	0.000000	0.000000	0.000000	-0.369330	0.000000	
 18	0.000000	0.000000	44.821647	0.000000	0.000000	0.000000	0.000000	-0.369330	0.000000	
 19	0.000000	0.000000	43.413961	0.000000	0.000000	0.000000	0.000000	-5.083528	6.121884	
 20	0.000000	0.000000	39.871761	0.000000	0.000000	0.000000	0.000000	0.000000	3.184469	
 21	0.000000	0.000000	36.410654	0.000000	0.000000	0.000000	0.000000	0.000000	3.132564	
 22	0.000000	0.000000	33.066181	0.000000	0.000000	0.000000	0.000000	0.000000	3.044449	
 23	0.000000	0.000000	29.882464	0.000000	0.000000	0.000000	0.000000	-4.147080	7.058332	
 24	0.000000	0.000000	26.868928	0.000000	0.000000	0.000000	0.000000	0.000000	2.767304	
 25	0.000000	0.000000	30.497590	0.000000	0.000000	0.000000	0.000000	-7.527737	3.677675	
 26	0.000000	0.000000	34.123369	0.000000	0.000000	0.000000	0.000000	-3.877078	0.000000	
 27	0.000000	0.000000	37.726651	0.000000	0.000000	0.000000	0.000000	-3.884458	0.000000	
 28	0.000000	0.000000	41.298121	0.000000	0.000000	0.000000	0.000000	-7.543875	3.661537	
 29	0.000000	0.000000	44.818582	0.000000	0.000000	0.000000	0.000000	-7.533084	3.672327	
 30	0.000000	0.000000	43.343231	0.000000	0.000000	0.000000	0.000000	0.000000	1.106046	
 31	0.000000	0.000000	42.568001	0.000000	0.000000	0.000000	0.000000	0.000000	0.418081	
 32	0.000000	0.000000	42.246667	0.000000	0.000000	0.000000	0.000000	-0.029426	0.000000	
 33	0.000000	0.000000	42.200782	0.000000	0.000000	0.000000	0.000000	-0.302227	0.000000	
