Name	C_inv	C_maint	C_Op
PV	327.226217	80.640000	0.000000
WIND	0.000000	0.000000	0.000000
DHN_HP_ELEC	0.000000	0.000000	0.000000
DHN_COGEN_GAS	0.000000	0.000000	0.000000
DHN_COGEN_WOOD	0.000000	0.000000	0.000000
DHN_COGEN_WASTE	0.000000	0.000000	0.000000
DHN_BOILER_GAS	0.000000	0.000000	0.000000
DHN_BOILER_WOOD	0.000000	0.000000	0.000000
DHN_BOILER_OIL	0.000000	0.000000	0.000000
DEC_HP_ELEC_A2A	97.409992	101.250000	0.000000
DEC_HP_ELEC_A2W	149.943587	69.500000	0.000000
DEC_HP_ELEC_G2W	349.474415	111.200000	0.000000
DEC_THHP_GAS_ABS_A2W	116.491472	117.500000	0.000000
DEC_THHP_GAS_ABS_G2W	142.702053	117.500000	0.000000
DEC_THHP_GAS_ADS_G2W	378.597283	117.500000	0.000000
DEC_COGEN_GAS	410.058717	463.060000	0.000000
DEC_COGEN_OIL	380.216515	409.825000	0.000000
DEC_ADVCOGEN_GAS	698.946501	799.989400	0.000000
DEC_ADVCOGEN_H2	640.699600	700.000000	0.000000
DEC_BOILER_GAS	180.561781	205.000000	0.000000
DEC_BOILER_WOOD	316.856803	403.200000	0.000000
DEC_BOILER_OIL	343.649550	234.000000	0.000000
DEC_SOLAR	426.737066	146.524823	0.000000
DEC_DIRECT_ELEC	8.987837	0.533700	0.000000
TRAMWAY_TROLLEY	0.000000	0.000000	0.000000
BUS_COACH_DIESEL	0.000000	0.000000	0.000000
BUS_COACH_HYDIESEL	0.000000	0.000000	0.000000
BUS_COACH_CNG_STOICH	0.000000	0.000000	0.000000
BUS_COACH_CapitalfC_HYBRIDH2	0.000000	0.000000	0.000000
TRAIN_PUB	0.000000	0.000000	0.000000
CAR_GASOLINE	0.000000	0.000000	0.000000
CAR_DIESEL	0.000000	0.000000	0.000000
CAR_NG	0.000000	0.000000	0.000000
CAR_HEV	0.000000	0.000000	0.000000
CAR_PHEV	0.000000	0.000000	0.000000
CAR_BEV	0.000000	0.000000	0.000000
CAR_CapitalfUEL_CELL	0.000000	0.000000	0.000000
TRAIN_CapitalfREIGHT	0.000000	0.000000	0.000000
TRUCK	0.000000	0.000000	0.000000
LNG_STO	2000.037530	0.000000	0.000000
PHES	0.000000	0.000000	0.000000
BATT_LI	5.595885	0.010000	0.000000
BEV_BATT	0.000000	0.000000	0.000000
PHEV_BATT	0.000000	0.000000	0.000000
TS_DEC	48.890879	6.640000	0.000000
TS_DHN_DAILY	0.000000	0.000000	0.000000
TS_DHN_SEASONAL	0.000000	0.000000	0.000000
ECapitalfCapitalfICIENCY	0.000000	0.000000	0.000000
DHN	0.000000	0.000000	0.000000
GRID	0.000000	0.000000	0.000000
POWER2GAS_in	0.000000	0.000000	0.000000
POWER2GAS_out	0.000000	0.000000	0.000000
POWER2GAS	3010.104746	3118.400000	0.000000
H2_ELECTROLYSIS	899.332268	600.000000	0.000000
H2_NG	657.582803	1288.700000	0.000000
H2_BIOMASS	2437.677016	3914.040000	0.000000
GASICapitalfICATION_SNG	0.000000	0.000000	0.000000
PYROLYSIS	1297.532070	1344.140000	0.000000
ROOCapitalf	0.000000	0.000000	0.000000
CapitalfACADE	0.000000	0.000000	0.000000
CapitalfLOOR	0.000000	0.000000	0.000000
WINDOW	0.000000	0.000000	0.000000
ELECTRICITY	0.000000	0.000000	142.573978
GASOLINE	0.000000	0.000000	0.000000
DIESEL	0.000000	0.000000	0.000000
BIOETHANOL	0.000000	0.000000	0.000000
BIODIESEL	0.000000	0.000000	0.000000
LCapitalfO	0.000000	0.000000	0.000000
LNG	0.000000	0.000000	0.000000
NG	0.000000	0.000000	509.620638
NG_CCS	0.000000	0.000000	0.000000
SNG	0.000000	0.000000	0.000000
WOOD	0.000000	0.000000	7.940916
WASTE	0.000000	0.000000	0.000000
H2	0.000000	0.000000	0.000000
ELEC_EXPORT	0.000000	0.000000	0.000000
ELECTRICITY_CapitalfEED_IN	0.000000	0.000000	0.000000
RES_WIND	0.000000	0.000000	0.000000
RES_SOLAR	0.000000	0.000000	0.000000
