source,target,realValue,layerID,layerColor,layerUnit
Exterior Heat,HPs,12840.91,Exterior Heat,#8FBC8F,TWh
Electricity,Elec,5449.54,Electricity,#00BFFF,TWh
Solar,Elec,5727.10,Solar,#FFFF00,TWh
Elec,Export,4495.91,Electricity,#00BFFF,TWh
Elec,Elec demand,2650.00,Electricity,#00BFFF,TWh
Elec,HPs,4030.73,Electricity,#00BFFF,TWh
HPs,Heat,16871.65,Heat LT,#FA8072,TWh
Heat,Dec. Sto,1852.73,Heat LT,#FA8072,TWh
Dec. Sto,Heat LT Dec,1793.77,Heat LT,#FA8072,TWh
Dec. Sto,Losses,58.96,Heat,#708090,TWh
Heat,Heat LT Dec,15018.92,Heat,#FA8072,TWh
