Name	GWP_constr	GWP_op
PV	1.000000	0.000000
WIND	1.000000	0.000000
DHN_HP_ELEC	1.000000	0.000000
DHN_COGEN_GAS	1.000000	0.000000
DHN_COGEN_WOOD	1.000000	0.000000
DHN_COGEN_WASTE	1.000000	0.000000
DHN_BOILER_GAS	1.000000	0.000000
DHN_BOILER_WOOD	1.000000	0.000000
DHN_BOILER_OIL	1.000000	0.000000
DEC_HP_ELEC_A2A	1.000000	0.000000
DEC_HP_ELEC_A2W	1.000000	0.000000
DEC_HP_ELEC_G2W	1.000000	0.000000
DEC_THHP_GAS_ABS_A2W	1.000000	0.000000
DEC_THHP_GAS_ABS_G2W	1.000000	0.000000
DEC_THHP_GAS_ADS_G2W	1.000000	0.000000
DEC_COGEN_GAS	1.000000	0.000000
DEC_COGEN_OIL	1.000000	0.000000
DEC_ADVCOGEN_GAS	1.000000	0.000000
DEC_ADVCOGEN_H2	1.000000	0.000000
DEC_BOILER_GAS	1.000000	0.000000
DEC_BOILER_WOOD	1.000000	0.000000
DEC_BOILER_OIL	1.000000	0.000000
DEC_SOLAR	1.000000	0.000000
DEC_DIRECT_ELEC	1.000000	0.000000
TRAMWAY_TROLLEY	1.000000	0.000000
BUS_COACH_DIESEL	1.000000	0.000000
BUS_COACH_HYDIESEL	1.000000	0.000000
BUS_COACH_CNG_STOICH	1.000000	0.000000
BUS_COACH_CapitalfC_HYBRIDH2	1.000000	0.000000
TRAIN_PUB	1.000000	0.000000
CAR_GASOLINE	1.000000	0.000000
CAR_DIESEL	1.000000	0.000000
CAR_NG	1.000000	0.000000
CAR_HEV	1.000000	0.000000
CAR_PHEV	1.000000	0.000000
CAR_BEV	1.000000	0.000000
CAR_CapitalfUEL_CELL	1.000000	0.000000
TRAIN_CapitalfREIGHT	1.000000	0.000000
TRUCK	1.000000	0.000000
LNG_STO	1.000000	0.000000
PHES	1.000000	0.000000
BATT_LI	1.000000	0.000000
BEV_BATT	1.000000	0.000000
PHEV_BATT	1.000000	0.000000
TS_DEC	1.000000	0.000000
TS_DHN_DAILY	1.000000	0.000000
TS_DHN_SEASONAL	1.000000	0.000000
ECapitalfCapitalfICIENCY	1.000000	0.000000
DHN	1.000000	0.000000
GRID	1.000000	0.000000
POWER2GAS_in	1.000000	0.000000
POWER2GAS_out	1.000000	0.000000
POWER2GAS	1.000000	0.000000
H2_ELECTROLYSIS	1.000000	0.000000
H2_NG	1.000000	0.000000
H2_BIOMASS	1.000000	0.000000
GASICapitalfICATION_SNG	1.000000	0.000000
PYROLYSIS	1.000000	0.000000
ROOCapitalf	1.000000	0.000000
CapitalfACADE	1.000000	0.000000
CapitalfLOOR	1.000000	0.000000
WINDOW	1.000000	0.000000
ELECTRICITY	0.000000	0.000000
GASOLINE	0.000000	0.000000
DIESEL	0.000000	0.000000
BIOETHANOL	0.000000	0.000000
BIODIESEL	0.000000	0.000000
LCapitalfO	0.000000	0.000000
LNG	0.000000	0.000000
NG	0.000000	3467.977607
NG_CCS	0.000000	0.000000
SNG	0.000000	0.000000
WOOD	0.000000	0.000000
WASTE	0.000000	0.000000
H2	0.000000	0.000000
ELEC_EXPORT	0.000000	0.000000
ELECTRICITY_CapitalfEED_IN	0.000000	0.000000
RES_WIND	0.000000	0.000000
RES_SOLAR	0.000000	0.000000
