Time	TS_DHN_DAILY	TS_DHN_SEASONAL	TS_DEC	TS_DHN_DAILY_in	TS_DHN_DAILY_out	TS_DHN_SEASONAL_in	TS_DHN_SEASONAL_out	TS_DEC_in	TS_DEC_out	
 1	0.000000	0.000000	15.592769	0.000000	0.000000	0.000000	0.000000	-5.603226	1.875980	
 2	0.000000	0.000000	19.218547	0.000000	0.000000	0.000000	0.000000	-3.754263	0.000000	
 3	0.000000	0.000000	22.821829	0.000000	0.000000	0.000000	0.000000	-3.761643	0.000000	
 4	0.000000	0.000000	26.393300	0.000000	0.000000	0.000000	0.000000	-3.759523	0.000000	
 5	0.000000	0.000000	29.913761	0.000000	0.000000	0.000000	0.000000	-3.737941	0.000000	
 6	0.000000	0.000000	28.438410	0.000000	0.000000	0.000000	0.000000	0.000000	1.228861	
 7	0.000000	0.000000	27.663180	0.000000	0.000000	0.000000	0.000000	0.000000	0.540897	
 8	0.000000	0.000000	27.341846	0.000000	0.000000	0.000000	0.000000	0.000000	0.093390	
 9	0.000000	0.000000	27.295961	0.000000	0.000000	0.000000	0.000000	-0.179412	0.000000	
 10	0.000000	0.000000	27.504388	0.000000	0.000000	0.000000	0.000000	-0.433346	0.000000	
 11	0.000000	0.000000	27.905271	0.000000	0.000000	0.000000	0.000000	-0.627519	0.000000	
 12	0.000000	0.000000	28.470225	0.000000	0.000000	0.000000	0.000000	-0.794894	0.000000	
 13	0.000000	0.000000	29.159748	0.000000	0.000000	0.000000	0.000000	-0.924117	0.000000	
 14	0.000000	0.000000	29.916826	0.000000	0.000000	0.000000	0.000000	-0.997354	0.000000	
 15	0.000000	0.000000	29.916826	0.000000	0.000000	0.000000	0.000000	-0.246515	0.000000	
 16	0.000000	0.000000	29.916826	0.000000	0.000000	0.000000	0.000000	-0.246515	0.000000	
 17	0.000000	0.000000	29.916826	0.000000	0.000000	0.000000	0.000000	-0.246515	0.000000	
 18	0.000000	0.000000	29.916826	0.000000	0.000000	0.000000	0.000000	-0.246515	0.000000	
 19	0.000000	0.000000	27.879584	0.000000	0.000000	0.000000	0.000000	0.000000	1.790727	
 20	0.000000	0.000000	24.465388	0.000000	0.000000	0.000000	0.000000	0.000000	3.184469	
 21	0.000000	0.000000	21.131229	0.000000	0.000000	0.000000	0.000000	0.000000	3.132564	
 22	0.000000	0.000000	17.912659	0.000000	0.000000	0.000000	0.000000	0.000000	3.044449	
 23	0.000000	0.000000	14.853807	0.000000	0.000000	0.000000	0.000000	-2.283977	5.195229	
 24	0.000000	0.000000	11.964107	0.000000	0.000000	0.000000	0.000000	0.000000	2.767304	
 25	0.000000	0.000000	15.592769	0.000000	0.000000	0.000000	0.000000	-5.603226	1.875980	
 26	0.000000	0.000000	19.218547	0.000000	0.000000	0.000000	0.000000	-3.754263	0.000000	
 27	0.000000	0.000000	22.821829	0.000000	0.000000	0.000000	0.000000	-3.761643	0.000000	
 28	0.000000	0.000000	26.393300	0.000000	0.000000	0.000000	0.000000	-3.759523	0.000000	
 29	0.000000	0.000000	29.913761	0.000000	0.000000	0.000000	0.000000	-3.737941	0.000000	
 30	0.000000	0.000000	28.438410	0.000000	0.000000	0.000000	0.000000	0.000000	1.228861	
 31	0.000000	0.000000	27.663180	0.000000	0.000000	0.000000	0.000000	0.000000	0.540897	
 32	0.000000	0.000000	27.341846	0.000000	0.000000	0.000000	0.000000	0.000000	0.093390	
 33	0.000000	0.000000	27.295961	0.000000	0.000000	0.000000	0.000000	-0.179412	0.000000	
 34	0.000000	0.000000	27.504388	0.000000	0.000000	0.000000	0.000000	-0.433346	0.000000	
 35	0.000000	0.000000	27.905271	0.000000	0.000000	0.000000	0.000000	-0.627519	0.000000	
 36	0.000000	0.000000	28.470225	0.000000	0.000000	0.000000	0.000000	-0.794894	0.000000	
 37	0.000000	0.000000	29.159748	0.000000	0.000000	0.000000	0.000000	-0.924117	0.000000	
 38	0.000000	0.000000	29.916826	0.000000	0.000000	0.000000	0.000000	-0.997354	0.000000	
 39	0.000000	0.000000	29.916826	0.000000	0.000000	0.000000	0.000000	-0.246515	0.000000	
 40	0.000000	0.000000	29.916826	0.000000	0.000000	0.000000	0.000000	-0.246515	0.000000	
 41	0.000000	0.000000	29.916826	0.000000	0.000000	0.000000	0.000000	-0.246515	0.000000	
 42	0.000000	0.000000	29.916826	0.000000	0.000000	0.000000	0.000000	-0.246515	0.000000	
 43	0.000000	0.000000	27.879584	0.000000	0.000000	0.000000	0.000000	0.000000	1.790727	
 44	0.000000	0.000000	24.465388	0.000000	0.000000	0.000000	0.000000	0.000000	3.184469	
 45	0.000000	0.000000	21.131229	0.000000	0.000000	0.000000	0.000000	0.000000	3.132564	
 46	0.000000	0.000000	17.912659	0.000000	0.000000	0.000000	0.000000	0.000000	3.044449	
 47	0.000000	0.000000	14.853807	0.000000	0.000000	0.000000	0.000000	-2.283977	5.195229	
 48	0.000000	0.000000	11.964107	0.000000	0.000000	0.000000	0.000000	0.000000	2.767304	
 49	0.000000	0.000000	15.592769	0.000000	0.000000	0.000000	0.000000	-5.603226	1.875980	
 50	0.000000	0.000000	19.218547	0.000000	0.000000	0.000000	0.000000	-3.754263	0.000000	
 51	0.000000	0.000000	22.821829	0.000000	0.000000	0.000000	0.000000	-3.761643	0.000000	
 52	0.000000	0.000000	26.393300	0.000000	0.000000	0.000000	0.000000	-3.759523	0.000000	
 53	0.000000	0.000000	29.913761	0.000000	0.000000	0.000000	0.000000	-3.737941	0.000000	
 54	0.000000	0.000000	28.438410	0.000000	0.000000	0.000000	0.000000	0.000000	1.228861	
 55	0.000000	0.000000	27.663180	0.000000	0.000000	0.000000	0.000000	0.000000	0.540897	
 56	0.000000	0.000000	27.341846	0.000000	0.000000	0.000000	0.000000	0.000000	0.093390	
 57	0.000000	0.000000	27.295961	0.000000	0.000000	0.000000	0.000000	-0.179412	0.000000	
 58	0.000000	0.000000	27.504388	0.000000	0.000000	0.000000	0.000000	-0.433346	0.000000	
 59	0.000000	0.000000	27.905271	0.000000	0.000000	0.000000	0.000000	-0.627519	0.000000	
 60	0.000000	0.000000	28.470225	0.000000	0.000000	0.000000	0.000000	-0.794894	0.000000	
 61	0.000000	0.000000	29.159748	0.000000	0.000000	0.000000	0.000000	-0.924117	0.000000	
 62	0.000000	0.000000	29.916826	0.000000	0.000000	0.000000	0.000000	-0.997354	0.000000	
 63	0.000000	0.000000	29.916826	0.000000	0.000000	0.000000	0.000000	-0.246515	0.000000	
 64	0.000000	0.000000	29.916826	0.000000	0.000000	0.000000	0.000000	-0.246515	0.000000	
 65	0.000000	0.000000	29.916826	0.000000	0.000000	0.000000	0.000000	-0.246515	0.000000	
 66	0.000000	0.000000	29.916826	0.000000	0.000000	0.000000	0.000000	-0.246515	0.000000	
 67	0.000000	0.000000	27.879584	0.000000	0.000000	0.000000	0.000000	0.000000	1.790727	
 68	0.000000	0.000000	24.465388	0.000000	0.000000	0.000000	0.000000	0.000000	3.184469	
 69	0.000000	0.000000	21.131229	0.000000	0.000000	0.000000	0.000000	0.000000	3.132564	
 70	0.000000	0.000000	17.912659	0.000000	0.000000	0.000000	0.000000	0.000000	3.044449	
 71	0.000000	0.000000	14.853807	0.000000	0.000000	0.000000	0.000000	-2.283977	5.195229	
 72	0.000000	0.000000	11.964107	0.000000	0.000000	0.000000	0.000000	0.000000	2.767304	
 73	0.000000	0.000000	15.592769	0.000000	0.000000	0.000000	0.000000	-5.603226	1.875980	
 74	0.000000	0.000000	19.218547	0.000000	0.000000	0.000000	0.000000	-3.754263	0.000000	
 75	0.000000	0.000000	22.821829	0.000000	0.000000	0.000000	0.000000	-3.761643	0.000000	
 76	0.000000	0.000000	26.393300	0.000000	0.000000	0.000000	0.000000	-3.759523	0.000000	
 77	0.000000	0.000000	29.913761	0.000000	0.000000	0.000000	0.000000	-3.737941	0.000000	
 78	0.000000	0.000000	28.438410	0.000000	0.000000	0.000000	0.000000	0.000000	1.228861	
 79	0.000000	0.000000	27.663180	0.000000	0.000000	0.000000	0.000000	0.000000	0.540897	
 80	0.000000	0.000000	27.341846	0.000000	0.000000	0.000000	0.000000	0.000000	0.093390	
 81	0.000000	0.000000	27.295961	0.000000	0.000000	0.000000	0.000000	-0.179412	0.000000	
 82	0.000000	0.000000	27.504388	0.000000	0.000000	0.000000	0.000000	-0.433346	0.000000	
 83	0.000000	0.000000	27.905271	0.000000	0.000000	0.000000	0.000000	-0.627519	0.000000	
 84	0.000000	0.000000	28.470225	0.000000	0.000000	0.000000	0.000000	-0.794894	0.000000	
 85	0.000000	0.000000	29.159748	0.000000	0.000000	0.000000	0.000000	-0.924117	0.000000	
 86	0.000000	0.000000	29.916826	0.000000	0.000000	0.000000	0.000000	-0.997354	0.000000	
 87	0.000000	0.000000	29.916826	0.000000	0.000000	0.000000	0.000000	-0.246515	0.000000	
 88	0.000000	0.000000	29.916826	0.000000	0.000000	0.000000	0.000000	-0.246515	0.000000	
 89	0.000000	0.000000	29.916826	0.000000	0.000000	0.000000	0.000000	-0.246515	0.000000	
 90	0.000000	0.000000	29.916826	0.000000	0.000000	0.000000	0.000000	-0.246515	0.000000	
 91	0.000000	0.000000	27.879584	0.000000	0.000000	0.000000	0.000000	0.000000	1.790727	
 92	0.000000	0.000000	24.465388	0.000000	0.000000	0.000000	0.000000	0.000000	3.184469	
 93	0.000000	0.000000	21.131229	0.000000	0.000000	0.000000	0.000000	0.000000	3.132564	
 94	0.000000	0.000000	17.912659	0.000000	0.000000	0.000000	0.000000	0.000000	3.044449	
 95	0.000000	0.000000	14.853807	0.000000	0.000000	0.000000	0.000000	-2.283977	5.195229	
 96	0.000000	0.000000	11.964107	0.000000	0.000000	0.000000	0.000000	0.000000	2.767304	
 97	0.000000	0.000000	15.593762	0.000000	0.000000	0.000000	0.000000	-3.728239	0.000000	
 98	0.000000	0.000000	19.220071	0.000000	0.000000	0.000000	0.000000	-3.754802	0.000000	
