source,target,realValue,layerID,layerColor,layerUnit
Exterior Heat,HPs,4191.63,Exterior Heat,#8FBC8F,TWh
NG,HPs,9286.88,NG,#FFD700,TWh
Electricity,Elec,1524.91,Electricity,#00BFFF,TWh
Solar,Elec,2669.68,Solar,#FFFF00,TWh
Solar,Heat,2456.79,Solar,#FFFF00,TWh
Wood,Boilers,2016.47,Wood,#CD853F,TWh
Elec,Export,1412.71,Electricity,#00BFFF,TWh
Elec,Elec demand,2650.00,Electricity,#00BFFF,TWh
Elec,HPs,131.89,Electricity,#00BFFF,TWh
HPs,Heat,13610.40,Heat LT,#FA8072,TWh
Boilers,Heat,1713.95,Heat LT,#FA8072,TWh
Heat,Heat LT Dec,17781.14,Heat,#FA8072,TWh
