source,target,realValue,layerID,layerColor,layerUnit
Exterior Heat,HPs,4179.31,Exterior Heat,#8FBC8F,TWh
NG,HPs,9096.88,NG,#FFD700,TWh
Electricity,Elec,1509.34,Electricity,#00BFFF,TWh
Solar,Elec,2791.19,Solar,#FFFF00,TWh
Solar,Heat,2456.79,Solar,#FFFF00,TWh
Wood,Boilers,2243.55,Wood,#CD853F,TWh
Elec,Export,1509.34,Electricity,#00BFFF,TWh
Elec,Elec demand,2650.00,Electricity,#00BFFF,TWh
Elec,HPs,141.19,Electricity,#00BFFF,TWh
HPs,Heat,13417.38,Heat LT,#FA8072,TWh
Boilers,Heat,1906.97,Heat LT,#FA8072,TWh
Heat,Heat LT Dec,17781.14,Heat,#FA8072,TWh
