Name	C_inv	C_maint	C_Op
PV	89.384893	22.027568	0.000000
WIND	0.000000	0.000000	0.000000
DHN_HP_ELEC	0.000000	0.000000	0.000000
DHN_COGEN_GAS	0.000000	0.000000	0.000000
DHN_COGEN_WOOD	0.000000	0.000000	0.000000
DHN_COGEN_WASTE	0.000000	0.000000	0.000000
DHN_BOILER_GAS	0.000000	0.000000	0.000000
DHN_BOILER_WOOD	0.000000	0.000000	0.000000
DHN_BOILER_OIL	0.000000	0.000000	0.000000
DEC_HP_ELEC_A2A	97.409992	101.250000	0.000000
DEC_HP_ELEC_A2W	0.000000	0.000000	0.000000
DEC_HP_ELEC_G2W	0.000000	0.000000	0.000000
DEC_THHP_GAS_ABS_A2W	116.491472	117.500000	0.000000
DEC_THHP_GAS_ABS_G2W	0.000000	0.000000	0.000000
DEC_THHP_GAS_ADS_G2W	0.000000	0.000000	0.000000
DEC_COGEN_GAS	0.000000	0.000000	0.000000
DEC_COGEN_OIL	0.000000	0.000000	0.000000
DEC_ADVCOGEN_GAS	0.000000	0.000000	0.000000
DEC_ADVCOGEN_H2	0.000000	0.000000	0.000000
DEC_BOILER_GAS	0.000000	0.000000	0.000000
DEC_BOILER_WOOD	0.000000	0.000000	0.000000
DEC_BOILER_OIL	0.000000	0.000000	0.000000
DEC_SOLAR	47.151554	16.190000	0.000000
DEC_DIRECT_ELEC	0.000000	0.000000	0.000000
TRAMWAY_TROLLEY	0.000000	0.000000	0.000000
BUS_COACH_DIESEL	0.000000	0.000000	0.000000
BUS_COACH_HYDIESEL	0.000000	0.000000	0.000000
BUS_COACH_CNG_STOICH	0.000000	0.000000	0.000000
BUS_COACH_CapitalfC_HYBRIDH2	0.000000	0.000000	0.000000
TRAIN_PUB	0.000000	0.000000	0.000000
CAR_GASOLINE	0.000000	0.000000	0.000000
CAR_DIESEL	0.000000	0.000000	0.000000
CAR_NG	0.000000	0.000000	0.000000
CAR_HEV	0.000000	0.000000	0.000000
CAR_PHEV	0.000000	0.000000	0.000000
CAR_BEV	0.000000	0.000000	0.000000
CAR_CapitalfUEL_CELL	0.000000	0.000000	0.000000
TRAIN_CapitalfREIGHT	0.000000	0.000000	0.000000
TRUCK	0.000000	0.000000	0.000000
LNG_STO	0.000000	0.000000	0.000000
PHES	0.000000	0.000000	0.000000
BATT_LI	0.000000	0.000000	0.000000
BEV_BATT	0.000000	0.000000	0.000000
PHEV_BATT	0.000000	0.000000	0.000000
TS_DEC	15.237009	2.069379	0.000000
TS_DHN_DAILY	0.000000	0.000000	0.000000
TS_DHN_SEASONAL	0.000000	0.000000	0.000000
ECapitalfCapitalfICIENCY	0.000000	0.000000	0.000000
DHN	0.000000	0.000000	0.000000
GRID	0.000000	0.000000	0.000000
POWER2GAS_in	0.000000	0.000000	0.000000
POWER2GAS_out	0.000000	0.000000	0.000000
POWER2GAS	0.000000	0.000000	0.000000
H2_ELECTROLYSIS	0.000000	0.000000	0.000000
H2_NG	0.000000	0.000000	0.000000
H2_BIOMASS	0.000000	0.000000	0.000000
GASICapitalfICATION_SNG	0.000000	0.000000	0.000000
PYROLYSIS	0.000000	0.000000	0.000000
ROOCapitalf	0.000000	0.000000	0.000000
CapitalfACADE	0.000000	0.000000	0.000000
CapitalfLOOR	0.000000	0.000000	0.000000
WINDOW	0.000000	0.000000	0.000000
ELECTRICITY	0.000000	0.000000	258.031572
GASOLINE	0.000000	0.000000	0.000000
DIESEL	0.000000	0.000000	0.000000
BIOETHANOL	0.000000	0.000000	0.000000
BIODIESEL	0.000000	0.000000	0.000000
LCapitalfO	0.000000	0.000000	0.000000
LNG	0.000000	0.000000	0.000000
NG	0.000000	0.000000	225.090695
NG_CCS	0.000000	0.000000	0.000000
SNG	0.000000	0.000000	0.000000
WOOD	0.000000	0.000000	0.000000
WASTE	0.000000	0.000000	0.000000
H2	0.000000	0.000000	0.000000
ELEC_EXPORT	0.000000	0.000000	0.000000
ELECTRICITY_CapitalfEED_IN	0.000000	0.000000	37.082441
RES_WIND	0.000000	0.000000	0.000000
RES_SOLAR	0.000000	0.000000	0.000000
