source,target,realValue,layerID,layerColor,layerUnit
Exterior Heat,HPs,6183.86,Exterior Heat,#8FBC8F,TWh
NG,HPs,10550.31,NG,#FFD700,TWh
Electricity,Elec,1765.73,Electricity,#00BFFF,TWh
Solar,Elec,1772.80,Solar,#FFFF00,TWh
Solar,Heat,576.40,Solar,#FFFF00,TWh
Elec,Export,356.97,Electricity,#00BFFF,TWh
Elec,Elec demand,2650.00,Electricity,#00BFFF,TWh
Elec,HPs,531.56,Electricity,#00BFFF,TWh
HPs,Heat,17265.73,Heat LT,#FA8072,TWh
Heat,Dec. Sto,1966.48,Heat LT,#FA8072,TWh
Dec. Sto,Heat LT Dec,1905.49,Heat LT,#FA8072,TWh
Dec. Sto,Losses,60.99,Heat,#708090,TWh
Heat,Heat LT Dec,15875.65,Heat,#FA8072,TWh
