source,target,realValue,layerID,layerColor,layerUnit
Exterior Heat,HPs,6732.09,Exterior Heat,#8FBC8F,TWh
NG,HPs,9686.64,NG,#FFD700,TWh
Electricity,Elec,1755.66,Electricity,#00BFFF,TWh
Solar,Elec,2579.06,Solar,#FFFF00,TWh
Solar,Heat,576.40,Solar,#FFFF00,TWh
Elec,Export,806.09,Electricity,#00BFFF,TWh
Elec,Elec demand,2650.00,Electricity,#00BFFF,TWh
Elec,HPs,878.64,Electricity,#00BFFF,TWh
HPs,Heat,17297.37,Heat LT,#FA8072,TWh
Heat,Dec. Sto,2003.57,Heat LT,#FA8072,TWh
Dec. Sto,Heat LT Dec,1910.94,Heat LT,#FA8072,TWh
Dec. Sto,Losses,92.63,Heat,#708090,TWh
Heat,Heat LT Dec,15870.20,Heat,#FA8072,TWh
