source,target,realValue,layerID,layerColor,layerUnit
Exterior Heat,HPs,6646.16,Exterior Heat,#8FBC8F,TWh
NG,HPs,9786.59,NG,#FFD700,TWh
Electricity,Elec,1521.31,Electricity,#00BFFF,TWh
Solar,Elec,3480.15,Solar,#FFFF00,TWh
Solar,Heat,576.40,Solar,#FFFF00,TWh
Elec,Export,1521.31,Electricity,#00BFFF,TWh
Elec,Elec demand,2650.00,Electricity,#00BFFF,TWh
Elec,HPs,830.15,Electricity,#00BFFF,TWh
HPs,Heat,17262.90,Heat LT,#FA8072,TWh
Heat,Dec. Sto,1867.14,Heat LT,#FA8072,TWh
Dec. Sto,Heat LT Dec,1808.98,Heat LT,#FA8072,TWh
Dec. Sto,Losses,58.16,Heat,#708090,TWh
Heat,Heat LT Dec,15972.16,Heat,#FA8072,TWh
