TECHNOLOGIES 	  c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	 f_perc	 fmax_perc	 c_p	 tau	 gwp_constr 
 UNITS	[MCHCapitalf/GW]	 [MCHCapitalf/GW]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh] 
NUCLEAR	0.000000	0.000000	60.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.849000	0.037106	0.000000	
CCGT	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.850000	0.058231	0.000000	
CCGT_CCS	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.850000	0.058231	0.000000	
COAL_US	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.868000	0.047393	0.000000	
COAL_IGCC	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.856000	0.047393	0.000000	
COAL_US_CCS	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.868000	0.047393	0.000000	
COAL_IGCC_CCS	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.856000	0.047393	0.000000	
PV	0.000000	0.000000	25.000000	0.000000	0.000000	0.000010	0.000000	0.000000	1.000000	1.000000	0.058231	0.000000	
WIND	0.000000	0.000000	20.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.500000	1.000000	0.067995	0.000000	
HYDRO_DAM	0.000000	0.000000	40.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	1.000000	0.044141	0.000000	
NEW_HYDRO_DAM	0.000000	0.000000	40.000000	0.000000	0.000000	0.100000	0.000000	0.000000	1.000000	1.000000	0.044141	0.000000	
HYDRO_RIVER	0.000000	0.000000	40.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	1.000000	0.044141	0.000000	
NEW_HYDRO_RIVER	0.000000	0.000000	40.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	1.000000	0.044141	0.000000	
GEOTHERMAL	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.860000	0.051847	0.000000	
IND_COGEN_GAS	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.850000	0.058231	0.000000	
IND_COGEN_WOOD	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.850000	0.058231	0.000000	
IND_COGEN_WASTE	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.850000	0.058231	0.000000	
IND_BOILER_GAS	0.000000	0.000000	17.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.600000	0.950000	0.076719	0.000000	
IND_BOILER_WOOD	0.000000	0.000000	17.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.900000	0.076719	0.000000	
IND_BOILER_OIL	0.000000	0.000000	17.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.950000	0.076719	0.000000	
IND_BOILER_COAL	0.000000	0.000000	17.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.900000	0.076719	0.000000	
IND_BOILER_WASTE	0.000000	0.000000	17.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.900000	0.076719	0.000000	
IND_DIRECT_ELEC	0.000000	0.000000	15.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.200000	0.950000	0.084526	0.000000	
DHN_HP_ELEC	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.950000	0.058231	0.000000	
DHN_COGEN_GAS	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.850000	0.058231	0.000000	
DHN_COGEN_WOOD	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.850000	0.058231	0.000000	
DHN_COGEN_WASTE	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.850000	0.058231	0.000000	
DHN_BOILER_GAS	0.000000	0.000000	17.000000	0.000000	0.000000	0.000000	0.200000	0.000000	0.800000	0.950000	0.076719	0.000000	
DHN_BOILER_WOOD	0.000000	0.000000	17.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.900000	0.076719	0.000000	
DHN_BOILER_OIL	0.000000	0.000000	17.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.950000	0.076719	0.000000	
DHN_DEEP_GEO	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.850000	0.051847	0.000000	
DEC_HP_ELEC	0.000000	0.000000	18.000000	0.000000	0.000000	30.000000	0.000000	0.000000	0.700000	1.000000	0.073479	0.000000	
DEC_THHP_GAS	0.000062	0.000002	20.000000	0.000000	0.000000	30.000000	0.000000	0.000000	0.500000	1.000000	0.067995	0.000071	
DEC_COGEN_GAS	0.000000	0.000000	20.000000	0.000000	0.000000	30.000000	0.000000	0.000000	0.500000	1.000000	0.067995	0.000000	
DEC_COGEN_OIL	0.000000	0.000000	20.000000	0.000000	0.000000	30.000000	0.000000	0.000000	0.500000	1.000000	0.067995	0.000000	
DEC_ADVCOGEN_GAS	0.000000	0.000000	20.000000	0.000000	0.000000	30.000000	0.000000	0.000000	0.500000	1.000000	0.067995	0.000000	
DEC_ADVCOGEN_H2	0.000000	0.000000	20.000000	0.000000	0.000000	30.000000	0.000000	0.000000	0.500000	1.000000	0.067995	0.000000	
DEC_BOILER_GAS	0.000199	0.000006	17.000000	0.000000	0.000001	30.000000	0.200000	0.000000	0.800000	1.000000	0.076719	0.000025	
DEC_BOILER_WOOD	0.001499	0.000052	17.000000	0.000000	0.000003	30.000000	0.000000	0.000000	1.000000	1.000000	0.076719	0.000064	
DEC_BOILER_OIL	0.000083	0.000005	17.000000	0.000000	0.000001	30.000000	0.100000	0.000000	0.500000	1.000000	0.076719	0.000012	
DEC_SOLAR	0.000000	0.000000	20.000000	0.000000	0.000000	30.000000	0.000000	0.000000	0.500000	1.000000	0.067995	0.000000	
DEC_DIRECT_ELEC	0.000000	0.000000	15.000000	0.000000	0.000000	30.000000	0.000000	0.000000	0.700000	1.000000	0.084526	0.000000	
TRAMWAY_TROLLEY	0.000000	0.000000	1.000000	0.000000	0.000000	16.700000	0.000000	0.000000	0.300000	1.000000	1.031250	0.000000	
BUS_COACH_DIESEL	0.000000	0.000000	1.000000	0.000000	0.000000	16.700000	0.000000	0.000000	0.300000	1.000000	1.031250	0.000000	
BUS_COACH_HYDIESEL	0.000000	0.000000	1.000000	0.000000	0.000000	16.700000	0.000000	0.000000	0.300000	1.000000	1.031250	0.000000	
BUS_COACH_CNG_STOICH	0.000000	0.000000	1.000000	0.000000	0.000000	16.700000	0.000000	0.000000	0.300000	1.000000	1.031250	0.000000	
BUS_COACH_CapitalfC_HYBRIDH2	0.000000	0.000000	1.000000	0.000000	0.000000	16.700000	0.000000	0.000000	0.200000	1.000000	1.031250	0.000000	
TRAIN_PUB	0.000000	0.000000	1.000000	0.000000	0.000000	16.700000	0.000000	0.000000	0.800000	1.000000	1.031250	0.000000	
CAR_GASOLINE	0.000000	0.000000	1.000000	0.000000	0.000000	16.700000	0.200000	0.000000	1.000000	1.000000	1.031250	0.000000	
CAR_DIESEL	0.000000	0.000000	1.000000	0.000000	0.000000	16.700000	0.200000	0.000000	1.000000	1.000000	1.031250	0.000000	
CAR_NG	0.000000	0.000000	1.000000	0.000000	0.000000	16.700000	0.000000	0.000000	0.500000	1.000000	1.031250	0.000000	
CAR_HEV	0.000000	0.000000	1.000000	0.000000	0.000000	16.700000	0.000000	0.000000	0.300000	1.000000	1.031250	0.000000	
CAR_PHEV	0.000000	0.000000	1.000000	0.000000	0.000000	16.700000	0.000000	0.000000	0.300000	1.000000	1.031250	0.000000	
CAR_BEV	0.000000	0.000000	1.000000	0.000000	0.000000	16.700000	0.000000	0.000000	0.300000	1.000000	1.031250	0.000000	
CAR_CapitalfUEL_CELL	0.000000	0.000000	1.000000	0.000000	0.000000	16.700000	0.000000	0.000000	0.200000	1.000000	1.031250	0.000000	
TRAIN_CapitalfREIGHT	0.000000	0.000000	1.000000	0.000000	0.000000	3.200000	0.000000	0.000000	1.000000	1.000000	1.031250	0.000000	
