TECHNOLOGIES 	  c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	 f_perc	 fmax_perc	 c_p	 tau	 gwp_constr 																							
 UNITS	[MCHCapitalf/kW]	 [MCHCapitalf/kW]	 [y]	 [kW or kWh]	 [kW or kWh]	 [kW or kWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [kgCO2-eq./kW or kWh] 																							
PV	45984.40073	546.92951	25	0.25	40.69416	1000000	0	0	1	1	0.048263	84702.04531		0.062961856			0.062564962																		
WIND_HAWT	0	0	30	2000	0	0	0	0	1	1	0.041639	0					0																		
WIND_VAWT	0	0	20	10	0	0	0	0	1	1	0.058246	0					0																		
DHN_ADVCOGEN_GAS	0	0	25	1000	0	0	0	0	1	0.9	0.048263	0					0																		
DHN_ADVCOGEN_H2	0	0	25	1000	0	0	0	0	1	0.9	0.048263	0					0																		
DHN_HP_ELEC_A2W	0	0	25	200	0	10000000	0	0	1	1	0.048263	0					0																		
DHN_HP_ELEC_G2W	125481.5123	380.247007	25	200	190.123504	10000000	0	0	1	1	0.048263	33231.68719		0.170304392			0.18212066																		
DHN_THHP_GAS_ED_A2W	3856.846673	226.589742	20	50	48.210583	10000000	0	0	1	1	0.058246	18413.06812					0.005597729																		
DHN_THHP_GAS_ED_G2W	0	0	20	50	0	10000000	0	0	1	1	0.058246	0					0																		
DHN_THHP_ABS_A2W	0	0	20	80	0	10000000	0	0	1	1	0.058246	0					0																		
DHN_THHP_ABS_G2W	0	0	20	80	0	10000000	0	0	1	1	0.058246	0					0																		
DHN_COGEN_GAS_S	0	0	15	25	0	0	0	0	1	0.85	0.074944	0					0																		
DHN_COGEN_GAS_TURB_S	0	0	15	50	0	10000	0	0	1	0.9	0.074944	0					0																		
DHN_COGEN_GAS_TURB_M	0	0	25	6250	0	40000	0	0	1	0.95	0.048263	0					0																		
DHN_COGEN_GAS_TURB_L	0	0	25	40000	0	0	0	0	1	0.95	0.048263	0					0																		
DHN_COGEN_GAS_CCGT_M	0	0	25	7000	0	0	0	0	1	0.9	0.048263	0					0																		
DHN_COGEN_GAS_CCGT_L	0	0	25	50000	0	0	0	0	1	0.9	0.048263	0					0																		
DHN_COGEN_GAS_ENG	57135.52749	586.39094	25	5	60.142661	40000	0	0	1	0.9	0.048263	1804.279815		0.078103916			0.082925044																		
DHN_COGEN_BIOGAS_ENG	0	0	25	5	0	0	0	0	1	0.9	0.048263	0					0																		
DHN_COGEN_WOOD_S	0	0	25	14000	0	100000	0	0	1	0.9	0.048263	0					0																		
DHN_COGEN_WOOD_M	0	0	25	60000	0	1000000	0	0	1	0.9	0.048263	0					0																		
DHN_COGEN_WOOD_L	0	0	25	500000	0	0	0	0	1	0.9	0.048263	0					0																		
DHN_COGEN_WASTE_S	0	0	25	25000	0	1000000	0	0	1	0.93	0.048263	0					0																		
DHN_COGEN_WASTE_M	0	0	25	57000	0	0	0	0	1	0.93	0.048263	0					0																		
DHN_COGEN_WASTE_L	0	0	25	175000	0	0	0	0	1	0.93	0.048263	0					0																		
DHN_BOILER_GAS_S	0	0	25	70	0	0	0	0	1	0.99	0.048263	0					0																		
DHN_BOILER_GAS_M	0	0	25	500	0	0	0	0	1	0.99	0.048263	0					0																		
DHN_BOILER_WOOD_S	0	0	25	5000	0	100000	0	0	1	1	0.048263	0					0																		
DHN_BOILER_WOOD_M	0	0	25	50000	0	1000000	0	0	1	1	0.048263	0					0																		
DHN_BOILER_WOOD_L	0	0	25	80000	0	0	0	0	1	1	0.048263	0					0																		
DHN_BOILER_OIL	0	0	20	500	0	10000	0	0	1	1	0.058246	0					0																		
DHN_BOILER_WASTE_S	0	0	15	500	0	10000	0	0	1	0.9	0.074944	0					0																		
